,rid,buyer_account_id,buyer_account,buyer_bu,buyer_bu_id,survey_client,client_responsestatusid,client_responsestatus,link_type_id,external_survey_name,fulcrum_responsestatusid,fulcrum_responsestatus,internal_survey_name,marketplace_projectid,marketplace_project,mid,parentsid,pid,respondentsid,entrydate,lastdate,session_loi,id,name,supplier_bu_id,supplier_bu,link_type,supplierid,survey_country,survey_country_langauge,survey_ccpi,survey_HASH_status,survey_SCCB_status,survey_https_status,project_manager,pm_email,survey_qcpi,surveyid
0,681e2ee2-5ba4-8a11-71a2-f1884537fa6e,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Other Survey   ,3,Client Survey Entry,University Entry OJR 2025 PARENTS Day 6,28577122,University Entry OJR 2025 Lucid PARENTS,98a2736ee32baef08f6f953bacccb340,681e2ee2-5ba4-8a11-71a2-f1884537fa6e,xe47uuaCpPpHn9Ts6eHje6TD,585a74fb-a837-4509-978f-3fe45f8cb71d,2025-05-09T16:35:46.669Z,2025-05-09T16:56:55.538Z,21,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.3172338,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.3172338,64168738
1,681dd354-bb96-35e9-1178-ae186d3deb17,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,10,Complete,18,Online Study  ,3,Client Survey Entry,Sports study 2025 - UK Desktop Day 6,28526304,Sports study 2025 - UK,71a6d382d05c40f1ec89643f0f83ef7e,681dd354-bb96-35e9-1178-ae186d3deb17,BvfPrbTXnECAvqEDYYdeB5m3,4d519f3e-9bc5-4832-9628-224be91c73f9,2025-05-09T10:05:10.978Z,2025-05-09T10:27:28.767Z,22,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.6507978,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.6507978,64136502
2,681eb2b9-66e1-e561-13a5-b4eaf4844553,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Other Survey   ,3,Client Survey Entry,University Entry OJR 2025 PARENTS Day 6,28577122,University Entry OJR 2025 Lucid PARENTS,e0c3cc59e1716e24f8e648616f623396,681eb2b9-66e1-e561-13a5-b4eaf4844553,wZ2hu18npeyZRtnLod6RZP4n,61fc8a3f-4d9f-4ce8-891d-92ff318ecfa4,2025-05-10T01:58:17.791Z,2025-05-10T02:15:11.659Z,16,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.3172338,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.3172338,64168738
3,681dde0c-2f81-1e31-e2d6-a330d5d3be07,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,10,Complete,18,Online Study  ,3,Client Survey Entry,Sports study 2025 - UK Desktop Day 6,28526304,Sports study 2025 - UK,c172a3865a416a9fb42fda339ec98698,681dde0c-2f81-1e31-e2d6-a330d5d3be07,RGZbysjNgTCDkzXfKTEBpCQX,1ece4797-a773-445e-9488-04cf9ae8765e,2025-05-09T10:50:53.486Z,2025-05-09T11:09:49.178Z,18,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.6507978,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.6507978,64136502
4,681e46fd-47de-5538-a1f2-80eb6990c0ab,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Other Survey   ,3,Client Survey Entry,University Entry OJR 2025 PARENTS Day 6,28577122,University Entry OJR 2025 Lucid PARENTS,76a4d3c40afcb1aa68e35f50e2e90ad4,681e46fd-47de-5538-a1f2-80eb6990c0ab,fnzcyavdEWSj9gjg7gpYCpXG,f5690222-3cfb-42a8-851b-8efd60fcb427,2025-05-09T18:18:38.557Z,2025-05-09T18:25:47.1Z,7,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.3172338,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.3172338,64168738
5,681ddd24-d4a0-44d5-71bf-743056ac510e,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,10,Complete,18,Online Study  ,3,Client Survey Entry,Sports study 2025 - UK Desktop Day 6,28526304,Sports study 2025 - UK,dc24059c97721579c5e147d247426342,681ddd24-d4a0-44d5-71bf-743056ac510e,o64omA1RvKg7iw1fx3SqqR2Z,7a50c4cb-cceb-4d03-8beb-4b4af6870166,2025-05-09T10:47:01.438Z,2025-05-09T11:05:14.195Z,18,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.6507978,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.6507978,64136502
6,681e3143-95a8-acb7-6f73-42ffda3eadf1,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Other Survey   ,3,Client Survey Entry,University Entry OJR 2025 PARENTS Day 6,28577122,University Entry OJR 2025 Lucid PARENTS,2faab857aa3f128b694cb12ca630fe56,681e3143-95a8-acb7-6f73-42ffda3eadf1,g7CsijNBSUaANgu2ruazoRDJ,9c8cb011-3f92-4600-9e0d-375a8469137e,2025-05-09T16:45:55.732Z,2025-05-09T16:58:16.222Z,12,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.3172338,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.3172338,64168738
7,681d0793-6d36-3266-d359-fea21d04cb05,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Online Study  ,3,Client Survey Entry,Sports study 2025 - UK Desktop Day 6,28526304,Sports study 2025 - UK,1a2d87d36c3264e81eba2b2624161596,681d0793-6d36-3266-d359-fea21d04cb05,4W3HMXAVMeujU1RDpkaWNrkE,5c6814a7-d94e-4f40-b46a-8a299e702cfe,2025-05-08T19:35:48.066Z,2025-05-08T19:55:44.942Z,19,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.6507978,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.6507978,64136502
8,681e55b6-9b76-29e0-7060-36726ff1e040,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Other Survey   ,3,Client Survey Entry,University Entry OJR 2025 PARENTS Day 6,28577122,University Entry OJR 2025 Lucid PARENTS,43b337d40eeba924b741880d4da87f63,681e55b6-9b76-29e0-7060-36726ff1e040,rUjrBkTRULUTvhx9yucXjiZe,17ce3921-ac62-431e-8517-73b81de78421,2025-05-09T19:21:27.334Z,2025-05-09T19:40:31.438Z,19,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.3172338,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.3172338,64168738
9,681d96cc-95ea-7d9b-1756-9cacd2fc5bb7,1845,Lumivo,Lumivo UK GBP,2747,Lumivo API_Client,26,Reconciled to Term - Completes Uploaded,18,Online Study  ,3,Client Survey Entry,Sports study 2025 - UK Desktop Day 6,28526304,Sports study 2025 - UK,cb7e76a8daba16599207b5b80eac0103,681d96cc-95ea-7d9b-1756-9cacd2fc5bb7,n83WkdxuKbpVc9XVfugD6TcB,4b96c7e1-2b0f-49c7-a3a4-863d6df67703,2025-05-09T05:46:53.012Z,2025-05-09T06:03:18.59Z,16,685,Qmee,796,Qmee,Offerwall / Standalone,1052,United Kingdom (GB),English - United Kingdom,3.6507978,True,False,True,Veronica Penkova,veronicapenkova@gmail.com,3.6507978,64136502
